From,To,Strength
1000738565452681216,1000738565452681216,34
1002663290,492607392,3
1020575708895211520,1021773684015620096,7
1020575708895211520,2306291760,12
1020577676837441537,1021773684015620096,7
1020577676837441537,2306291760,12
1020638001334976513,1021773684015620096,7
1020638001334976513,2306291760,12
1022581658,492607392,4
1060216226893434880,2955404464,3
1159750206,430183964,3
128222457,14770715,100
138083232,804596291250569216,3
14273050,1449373734,8
14273050,301413295,17
14273050,408548113,43
14273050,92360681,8
145957031,506349796,3
1550547547,4695031999,14
1578125996,4695031999,14
163785653,251186081,3
163785653,3163938257,3
164184258,408548113,9
164184258,5912372,3
18292592,804596291250569216,3
202985146,5912372,4
217034168,804596291250569216,3
2255302334,172375021,4
2255302334,2380493820,3
2266503733,76653252,3
2303451512,1000738565452681216,3
236309486,624668875,3
236309486,804596291250569216,6
2572556132,301413295,3
2584393508,492607392,4
2601323054,506349796,4
26777021,12392362,3
275112201,757293523,4
2910644884,804596291250569216,4
3023480746,430183964,3
3096451480,1000738565452681216,3
3135113487,206630486,3
3289108752,861597623517663232,4
3314634431,2191409085,4
3395777655,743024249141637120,3
3414086001,747004928221118464,3
342631350,1449373734,6
342631350,408548113,6
342631350,92360681,3
364384953,14273050,3
37391313,4695031999,3
3801795495,202985146,3
399370075,373944734,7
437588125,206630486,3
46988913,924334824,4
4869675245,1000738565452681216,3
492607392,492607392,7
495880776,408548113,3
540087657,3760626981,6
55343681,804596291250569216,5
561916773,923992110767968256,4
620197067,206630486,5
624668875,804596291250569216,6
708622213780480000,1000738565452681216,20
708622213780480000,998308467852095488,4
72072706,4695031999,3
722576059,12392362,5
724288337012387840,39528842,3
765272280024965120,765272280024965120,3
775904053,928716555306917895,4
800967760989880321,14273050,3
862658023,76653252,6
86624549,33047609,3
875637231112683522,4695031999,8
891462473404096512,2738012154,5
92360681,1449373734,3
92360681,408548113,5
969830888807849984,924334824,3
972470072412463106,430183964,3
975754740272418821,975754740272418821,3
978267947255914496,1021773684015620096,5
978267947255914496,2306291760,11
978641355206479872,1021773684015620096,7
978641355206479872,2306291760,11
996033962878251008,4695031999,4
998308467852095488,998308467852095488,3
